entrezID*Integer	originalID*String	log*String
100418905	NBEAP3	successfully mapped to unique Entrez ID
4114	MAGEB3	successfully mapped to unique Entrez ID
22880	MORC2	successfully mapped to unique Entrez ID
340152	ZC3H12D	successfully mapped to unique Entrez ID
391106	VDAC1P9	successfully mapped to unique Entrez ID
219855	SLC37A2	successfully mapped to unique Entrez ID
144455	E2F7	successfully mapped to unique Entrez ID
84069	PLEKHN1	successfully mapped to unique Entrez ID
